Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/qc_penalty	loss/lagrangian	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.08445330349206918	0.0021465757238138304	0.2666282824051035	-0.04449084553628926	-4.745340529020721e-05	3.4806089252961675e-05	347.8	143.72398203256967	1000.0	2499.0	2499.0
4999	0.06519497803300615	0.004617279877866938	0.5978911513043155	-0.17679137339293977	-5.1494770819587614e-05	7.403202651554745e-05	374.0	150.93465721625554	1000.0	2499.0	4999.0
7499	0.060742645269632335	0.005365240345784493	0.7790549615539532	-0.26722278167605457	6.780103299755072e-05	0.0006224164662350459	495.5	201.49743011549864	1000.0	2499.0	7499.0
9999	0.05839102552831181	0.006437065437166987	1.0215691893624281	-0.339137364888191	0.0020565990067821873	0.035768407097231315	242.0	148.41971558949035	1000.0	9999.0	9999.0
12499	0.05660012819766989	0.008138035711905994	1.3055801286797517	-0.39538930505514075	0.0021803431185544496	0.039650643080100356	46.9	33.55106592873631	1000.0	12499.0	12499.0
14999	0.055357319185137754	0.009492807554540727	1.506700479032686	-0.44522651243209804	0.0021517008940107156	0.027791690088249724	290.1	126.52045946725347	1000.0	12499.0	14999.0
17499	0.05425791448205709	0.011011479196804307	1.6311416078032548	-0.49162251026630327	0.002196265269571453	0.03177121899407356	460.4	171.9775014261405	1000.0	12499.0	17499.0
19999	0.053736896966397725	0.012584065534723965	1.7869755240026635	-0.5303607159733766	0.002671238732992786	0.029944273287057867	130.2	96.03111223650873	1000.0	12499.0	19999.0
22499	0.05321262516975408	0.011582624458113025	1.684111449627376	-0.5581813208818422	0.002897241804278192	0.030595095317152276	218.2	134.73203080614076	1000.0	12499.0	22499.0
24999	0.052310723051428816	0.0128035219631019	1.8372246824851883	-0.5837750509023655	0.0033029170160676588	0.026158270074788017	138.5	110.62938660630486	1000.0	12499.0	24999.0
27499	0.05200593543648724	0.012734260936407628	1.7196823506686814	-0.6061408256769176	0.0033721501747013406	0.026192995926778553	201.6	155.06613105706558	1000.0	12499.0	27499.0
29999	0.05157137932926412	0.011964437545500374	1.679787874189809	-0.6256012393474596	0.0033805273629380224	0.02098520878504571	328.2	200.9003206399793	1000.0	12499.0	29999.0
32499	0.05103191659897573	0.013700122208420377	1.9312792321568086	-0.6421190905570977	0.0036749909007003324	0.020764545895390667	209.3	153.57635761558322	1000.0	12499.0	32499.0
34999	0.050966866540908845	0.01323217299181548	1.955744534447131	-0.6561461196899423	0.003672290067729406	0.020343528714196875	309.3	178.92424442007717	1000.0	12499.0	34999.0
37499	0.05043807319998738	0.01286950547864405	1.982503177561422	-0.6660190096378336	0.004062544599202823	0.021206697407757002	55.0	77.9093440351883	1000.0	12499.0	37499.0
39999	0.05030973622947937	0.014191934659288547	2.4565490283946745	-0.6770015329122544	0.0040722791793947255	0.02191212429508527	184.5	126.49006597958407	1000.0	12499.0	39999.0
42499	0.0500085341334343	0.012989192622232559	2.4114657023057218	-0.6877446348667148	0.004130652155491953	0.022768034014156713	78.0	90.1715228672077	1000.0	12499.0	42499.0
44999	0.04977998291850089	0.013030138936244584	2.5631660845622295	-0.697284795689583	0.00432922229666258	0.022631667689765593	313.8	135.75267331376375	1000.0	12499.0	44999.0
47499	0.049668570484221006	0.013397939119153206	3.120563668431925	-0.706319061017035	0.004632825149482323	0.021529146264088972	82.8	54.41844013027518	1000.0	12499.0	47499.0
49999	0.049365228724479654	0.01384036525257065	3.185501738244191	-0.7165536874532707	0.004963454588317555	0.018209955024595968	168.8	107.5613292716987	1000.0	12499.0	49999.0
52499	0.04922414349764583	0.013446504897201965	3.5204262466031517	-0.722869712543488	0.004636912971344114	0.01667049632342711	231.8	101.76998044274512	1000.0	12499.0	52499.0
54999	0.04903531107306482	0.013765382912585089	4.587118863354991	-0.7292693118810667	0.0047234699665837715	0.014669789997475407	262.1	141.97919604671839	1000.0	12499.0	54999.0
57499	0.04912536272108542	0.012911041287900648	5.02910462181153	-0.7348781346321098	0.005855498871593584	0.018611684644093095	318.1	158.13829849349213	1000.0	12499.0	57499.0
59999	0.048856005454063434	0.012970124529739906	5.756373457546215	-0.7395570631027214	0.006561879523225866	0.020755024827612552	276.6	151.227736412714	1000.0	12499.0	59999.0
62499	0.04875660087093716	0.012562678231735501	7.165148957304194	-0.7430746281385425	0.0065988719624708635	0.018061397158470886	336.0	136.7103425123142	1000.0	12499.0	62499.0
64999	0.048609646424651175	0.013327293250042355	7.42001846239522	-0.7474518731355672	0.007646882664055419	0.02042107878115375	216.1	108.8036693229648	1000.0	12499.0	64999.0
67499	0.048560653617977956	0.012568162563911738	8.128614775425525	-0.751749585604668	0.006581106150869957	0.015942771348804688	297.1	146.14641523173825	1000.0	12499.0	67499.0
69999	0.048405788977444124	0.012930381277135505	8.393020859772717	-0.7536686454057694	0.007688481237598611	0.021927688482212895	339.8	157.91725386001767	1000.0	12499.0	69999.0
72499	0.048413479214906706	0.012804332136738853	8.5171833794146	-0.7556369016170492	0.007510635318418815	0.018116775076060118	194.1	110.85488630931454	1000.0	12499.0	72499.0
74999	0.04807286274582139	0.014118263985712282	9.069761784735244	-0.7579135287761674	0.007373607057676598	0.018739007544030777	231.6	117.80879336013194	1000.0	12499.0	74999.0
77499	0.048259884013235436	0.013151087169874363	12.46944921810162	-0.7554738729476923	0.008800644893808798	0.02283653905434672	292.0	129.50448001021834	1000.0	12499.0	77499.0
79999	0.04797084680944692	0.01258666028611694	14.704674324439955	-0.7562904907941819	0.009237046374101334	0.02103830097363894	292.8	157.06445062209136	1000.0	12499.0	79999.0
82499	0.04775052137821916	0.0124982257789874	14.678248918878188	-0.7595939591169373	0.008703750422920783	0.018849772600108818	119.1	69.16878694678324	1000.0	12499.0	82499.0
84999	0.047732371495664006	0.013016412618747948	17.598797297539296	-0.7620344484090785	0.009766567800887764	0.02071841232902188	316.8	141.97534947506162	1000.0	12499.0	84999.0
87499	0.047584985934197896	0.012887447526039172	22.14528979239383	-0.7652344552516935	0.00979388449270787	0.01894764238780381	328.7	168.31076179772512	1000.0	12499.0	87499.0
89999	0.04744786912351844	0.012396444997495502	24.998770554848434	-0.7687548370003716	0.011151001245994375	0.021056545550993032	197.9	100.9867926683982	1000.0	12499.0	89999.0
92499	0.04749453182369472	0.012675861261837042	31.369032004601138	-0.7707126484274862	0.012031669683889872	0.021193645623739994	234.4	118.00066252072206	1000.0	12499.0	92499.0
94999	0.047489092789590355	0.01263884926593996	36.47707601115409	-0.77158218650818	0.013432992749758491	0.01983270881176721	216.7	140.2357795438399	1000.0	12499.0	94999.0
97499	0.04737393457591538	0.012489814979151265	39.38715335072371	-0.7710032635331145	0.013579085239224844	0.018390419529304914	250.0	101.73653533182043	1000.0	12499.0	97499.0
99999	0.04731581666618587	0.013307038008533374	42.5911717357411	-0.7755266335248975	0.010172009060008341	0.012593567498770322	266.8	131.5264693036358	1000.0	12499.0	99999.0
