Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/qc_penalty	loss/lagrangian	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.10194066476523883	0.0019019082022828902	0.16873524959018282	0.13024259001314653	-6.354034788183333e-06	7.065770462778426e-06	14.2	10.85461976726572	1000.0	2499.0	2499.0
4999	0.08857713263928872	0.00023873403158289398	0.1839859578000681	0.11288760813772686	-8.536888890121103e-06	1.3353242302411414e-05	18.7	14.514437230179055	1000.0	2499.0	4999.0
7499	0.08419207850098617	0.00015756451515583613	0.20926617014039586	0.08628940449953089	-9.345122278259805e-06	1.6145844345366128e-05	16.9	12.950076815106955	1000.0	2499.0	7499.0
9999	0.0825196824342015	0.00015720532481917058	0.2362910923555922	0.05885902717709538	-1.095473793689478e-05	1.73071954498383e-05	19.8	13.275458040369715	1000.0	2499.0	9999.0
12499	0.0814030212670565	0.0001701621653829028	0.257555864441803	0.033868668314814575	-1.2555033396075828e-05	1.6280217620044127e-05	6.3	11.708487597833086	1000.0	12499.0	12499.0
14999	0.08054390273392226	0.00019462915513454647	0.2699471653573256	0.012396268591571469	-1.6282836079606936e-05	1.6654013740904377e-05	22.9	14.373582380487203	1000.0	12499.0	14999.0
17499	0.07986570962667469	0.00021771358763782303	0.2783214405330354	-0.00572495049098724	-1.9098974800562e-05	1.541282538393317e-05	30.9	20.412728989821368	1000.0	12499.0	17499.0
19999	0.07940917853116986	0.00023751976784168637	0.28504964656078174	-0.021025822799652847	-2.401392427708514e-05	1.55121059594137e-05	44.4	23.1556441600297	1000.0	12499.0	19999.0
22499	0.07905171860158457	0.0002544146539463455	0.2934269042018717	-0.03283855794966216	-2.8003967906349246e-05	1.4804613399342503e-05	39.0	17.809616700207638	1000.0	12499.0	22499.0
24999	0.07839554764628424	0.0002778198681599659	0.30551145811249125	-0.04227913247942927	-3.700289376128582e-05	1.6433223255521085e-05	30.1	18.743649477710626	1000.0	12499.0	24999.0
27499	0.07805768139660359	0.00029821048906499123	0.31569413540324553	-0.0496997143670917	-4.512374003313082e-05	1.718912732151094e-05	24.0	20.52538589046322	1000.0	12499.0	27499.0
29999	0.0774989050596953	0.00031958300082012497	0.3251604187156742	-0.055279943385720245	-5.382268704867901e-05	1.79644049847037e-05	22.2	14.758510888764246	1000.0	12499.0	29999.0
32499	0.07725239038765438	0.0003310932874450855	0.3355701939338188	-0.05966366847902535	-6.213989976214972e-05	1.84527266744105e-05	38.8	22.44713838844284	1000.0	12499.0	32499.0
34999	0.07669837643057117	0.00035656177066810234	0.3530790108604309	-0.06300597715675829	-7.725377957525717e-05	2.0740354647844242e-05	19.7	20.245969633128357	1000.0	12499.0	34999.0
37499	0.07643085765838618	0.000357032517251038	0.355799625947096	-0.06562590794563304	-8.841442628122153e-05	2.160197904867147e-05	34.7	18.862996380312328	1000.0	12499.0	37499.0
39999	0.076271302396059	0.00036519970117299453	0.3667737058842242	-0.0677950522929429	-0.00010498479427392338	2.364499907603204e-05	13.0	17.706335958101505	1000.0	12499.0	39999.0
42499	0.0760532195270061	0.0003768017207224469	0.3786154691629813	-0.069145009316504	-0.00012189903465439206	2.547874933883459e-05	25.8	19.212585086244495	1000.0	12499.0	42499.0
44999	0.07551829345822347	0.00038621709736933775	0.38031722238841364	-0.06994128801077597	-0.00013703030605864193	2.682605583913473e-05	28.6	21.434129848142877	1000.0	12499.0	44999.0
47499	0.07540160956680755	0.00039978642336587806	0.394705312111429	-0.07035904328227052	-0.00015179522154933788	2.7933827563443004e-05	45.0	20.63814865703959	1000.0	12499.0	47499.0
49999	0.07515495544523004	0.0004011432119180078	0.4020115105714686	-0.07036702103465793	-0.00016638647127210514	2.9002271502586287e-05	29.8	20.597715216902177	1000.0	12499.0	49999.0
52499	0.07489296554625041	0.00040580332268251823	0.41029594295351757	-0.07019168529957531	-0.00017691017622169017	2.9377360969303422e-05	16.5	18.739850400089903	1000.0	12499.0	52499.0
54999	0.07467454525232324	0.0004073697908343839	0.409589301035616	-0.06976961964517846	-0.0001935478374454424	3.074320193053948e-05	41.2	23.013238520355312	1000.0	12499.0	54999.0
57499	0.07462719143033006	0.00041293615063577786	0.41829016780142547	-0.06943366601765177	-0.00020298863086895864	3.099639622637935e-05	29.5	24.728806292218824	1000.0	12499.0	57499.0
59999	0.07410161559432758	0.00042362860242404473	0.41359838911578484	-0.06888375027775767	-0.00022137571146403162	3.25794202934361e-05	15.3	19.93704482551297	1000.0	12499.0	59999.0
62499	0.07392699385732417	0.0004279514480172728	0.4222736925006982	-0.06803427329957486	-0.00023148749946958586	3.299898038520172e-05	14.7	21.975569895247276	1000.0	12499.0	62499.0
64999	0.07366331315338615	0.00042303486922738644	0.42226806269821193	-0.0674604459762571	-0.00024296830236462868	3.364982098381253e-05	21.4	19.04827640408125	1000.0	12499.0	64999.0
67499	0.07348270348906537	0.0004377910647335678	0.4273810808034029	-0.06660069031417382	-0.00025689779555714313	3.4712740953426736e-05	16.7	18.532613049109877	1000.0	12499.0	67499.0
69999	0.07322626837193966	0.0004369862136616216	0.42556201986045816	-0.06555902701765298	-0.00026623732511043305	3.514807812390471e-05	26.7	17.495577163278824	1000.0	12499.0	69999.0
72499	0.07308934558033953	0.0004419703418988033	0.43409207762882385	-0.06479388835132109	-0.00028109735565597565	3.634893815906819e-05	11.2	19.635785592566776	1000.0	12499.0	72499.0
74999	0.07288386181294919	0.0004377913701421234	0.43640139799765104	-0.06388845287710429	-0.00029408758580675543	3.7320875385984276e-05	29.4	18.30478411704496	1000.0	12499.0	74999.0
77499	0.07265433448702105	0.0004496691510606485	0.4321263397841329	-0.06299829532355063	-0.0002927628454582649	3.652534214183457e-05	20.3	19.20021212055179	1000.0	12499.0	77499.0
79999	0.0723975996255875	0.00044975204055131685	0.44379878098780556	-0.06207049593180419	-0.0002994535546266098	3.682009030621461e-05	34.2	22.767067009681057	1000.0	12499.0	79999.0
82499	0.07225438622087232	0.000446241646657072	0.44679631366492223	-0.061279952363669864	-0.0003050370291600754	3.699222200378926e-05	19.9	19.566550147724307	1000.0	12499.0	82499.0
84999	0.07230052044540657	0.00044938768943808484	0.4451407781340385	-0.060594644813239604	-0.0003197976520448719	3.8316891051533763e-05	21.0	13.670221115250548	1000.0	12499.0	84999.0
87499	0.07201115025728956	0.00044428114696920605	0.45039330111212905	-0.059753104601800416	-0.0003291101608911729	3.8997170190879116e-05	22.3	18.27748175618069	1000.0	12499.0	87499.0
89999	0.07170968763083217	0.0004526602729170646	0.44895389779927025	-0.05890158521234988	-0.0003362340195995785	3.94359687644169e-05	9.6	15.013259838850853	1000.0	12499.0	89999.0
92499	0.0715754760786891	0.0004564727334625094	0.4502420134917473	-0.058136074590682915	-0.00033704471999285515	3.916405438934017e-05	14.9	13.264908149772245	1000.0	12499.0	92499.0
94999	0.07156089879870395	0.0004570457546763321	0.45464853658034104	-0.05734242951571939	-0.00033709857440041404	3.8856477665817126e-05	10.8	14.428913063443835	1000.0	12499.0	94999.0
97499	0.07138856779783959	0.00046335194807806444	0.4602202149178488	-0.05656270380914213	-0.00034757045867909206	3.979697449466363e-05	8.8	11.310960620319381	1000.0	12499.0	97499.0
99999	0.07117161438614135	0.0004645986648433279	0.4510888914687925	-0.05555021558552987	-0.0003621068362187542	4.1190840608919695e-05	29.7	19.414523408993553	1000.0	12499.0	99999.0
