Steps	loss/chi_loss	loss/tau_loss	loss/D_kl	loss/Df	loss/td_error	loss/nu_loss	loss/lmbda_loss	loss/actor_loss	loss/tau	loss/lmbda	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.018506554632200918	0.01023779985154397	0.0016907316109504523	0.06551228345962838	0.11929416161342488	-0.05538343067364675	2.426802355670928	0.4228569064141137	1.2274920788288135	1.2249221766948672	65.4	101.43013027271368	1000.0	2499.0	2499.0
4999	0.046983361410974235	0.0028979667590161642	0.007429290933172899	0.06855407687400404	0.18232923870908996	-0.07427666361581085	2.0692974823951715	0.12052811671900955	1.115348277044298	1.0593214325666427	142.2	133.95629712533437	1000.0	2499.0	4999.0
7499	0.09514341789161371	-0.01746890736815986	0.025644396682911352	0.07163679767555325	0.2563087257511167	-0.07494222140013361	1.7405812071785363	0.04910597886079046	1.1157458089351657	0.9092859927177419	271.9	158.76013404570452	1000.0	2499.0	7499.0
9999	0.10852137207760555	-0.017032429014140472	0.02499335830261185	0.06531295445623525	0.24175958110228551	-0.06957686376664948	1.464267797310649	0.0023065840274152823	1.135501606035233	0.7739837788581848	176.8	153.81149790922203	1000.0	2499.0	9999.0
12499	0.13124248063667454	-0.02381650941032566	0.03038624752502668	0.05863333549828384	0.227489919960637	-0.0619922901159841	1.2264779252111893	-0.029686599139024283	1.167892696762087	0.6530214625835412	223.8	157.41641260452775	1000.0	2499.0	12499.0
14999	0.13630007181425075	-0.021085656172875274	0.027681364460116244	0.048212322396961764	0.18139562784701624	-0.05182557321921494	1.0228126571387084	-0.05231054818986043	1.1924100071907076	0.5465766169548028	260.3	166.4537698031033	1000.0	2499.0	14999.0
17499	0.1446855072258707	-0.017380957917979722	0.024253113081880804	0.04758288305907208	0.1855018793490703	-0.04956220669957947	0.8452831266582026	-0.07346083900698094	1.220431763410566	0.4542469542622574	116.4	132.80066551479285	1000.0	2499.0	17499.0
19999	0.1496136017096211	-0.014871097286313317	0.02182694366472381	0.04774844208237899	0.1752068045666649	-0.04978972320558597	0.6957083983302107	-0.09172544787822562	1.256580031394958	0.37496077830791535	162.0	147.85883136775377	1000.0	2499.0	19999.0
22499	0.15971308794951528	-0.01627813669610055	0.022604028500435205	0.047448698117872286	0.18550946570590118	-0.041329796368369774	0.5688103000875562	-0.10440328605604476	1.2937765694618237	0.3078186976194379	377.1	164.038270578059	1000.0	2499.0	22499.0
24999	0.1687653060301991	-0.019270814482166363	0.024619842833123195	0.04118307034447405	0.14254153761760974	-0.03446389869000639	0.4637486953794957	-0.11187063874906228	1.319882006597518	0.2513974708676335	344.2	155.58435607521923	1000.0	2499.0	24999.0
