Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/mmd_loss	loss/qc_penalty	loss/lagrangian	loss/alpha_value	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.0843331906080244	0.0018336342754791876	0.20865388905926313	-0.029615077419480097	0.035359161038696824	0.0005052247204805752	0.004866212612147941	0.9802023272275922	24.7	-5.580636788268476	1000.0	2499.0	2499.0
4999	0.06518033291250466	0.005042351355463818	0.49632760204188653	-0.22934460488557834	0.02981442826241257	0.002251269729319031	0.08840205453187218	0.9420182432413106	14.8	2.798036522708812	1000.0	4999.0	4999.0
7499	0.060848679111897896	0.010675646527189213	0.7308828874962364	-0.35983492032289544	0.03323207775205377	0.00198487587079872	0.10066645237803477	0.902849105978013	243.7	124.26276998529364	1000.0	4999.0	7499.0
9999	0.0582870848968626	0.014601160609174584	1.435224721385295	-0.4692564864873885	0.03019108866602184	0.0029034222409012717	0.07272614538371572	0.8668282656192793	205.3	120.43400057051237	1000.0	4999.0	9999.0
12499	0.0565080769717694	0.011141727512293505	0.8418191101852506	-0.5455789109945303	0.029864323222637223	0.002591837070029571	0.05082684643249963	0.8310452302455905	37.3	45.60199204150912	1000.0	4999.0	12499.0
14999	0.055317341034114335	0.013182264632423446	1.1436109102695657	-0.6125810287952416	0.029604666098952265	0.00302148215603084	0.04501187187805764	0.7977933251857753	23.4	21.585647016872514	1000.0	4999.0	14999.0
17499	0.05453155256658789	0.033163664449094146	4.157498238789581	-0.6918129229545614	0.03551602422446007	0.007178473446052524	0.057853294410183984	0.7680887436151498	18.4	35.40641702868852	1000.0	4999.0	17499.0
19999	0.053748616062104765	0.054472529709803465	4.425860052841267	-0.9283665600299833	0.0470559661731124	0.012292692146822808	0.07103668620809916	0.7554962004899979	0.0	6.239760504306868	1000.0	19999.0	19999.0
22499	0.053012897247076	0.04502644740676496	2.72652102052272	-1.0852978740215302	0.03828603113591676	0.014185619728616443	0.05265147467535005	0.7485533150196059	0.4	2.9659252035134163	1000.0	19999.0	22499.0
24999	0.05241707066893579	0.03697391117481986	2.2901615243693234	-1.1518823343038564	0.04050831309631475	0.011315400444413532	0.04673994268998502	0.7310604388237008	21.7	14.264073564974561	1000.0	19999.0	24999.0
