Steps	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.08205433896929033	45.0	103.22486172754698	1000.0	2499.0	2499.0
4999	0.06752233384996659	128.5	124.5120504934908	1000.0	2499.0	4999.0
7499	0.06452564824819572	300.8	168.51133058651902	1000.0	2499.0	7499.0
9999	0.062387985613942126	279.3	170.56380836035444	1000.0	2499.0	9999.0
12499	0.06132014623135327	158.4	142.84231740838035	1000.0	2499.0	12499.0
14999	0.06024003273844709	180.6	155.76939488477558	1000.0	2499.0	14999.0
17499	0.05878708008229726	146.4	152.2739172463972	1000.0	2499.0	17499.0
19999	0.058107484327256695	84.5	133.28035834601937	1000.0	2499.0	19999.0
22499	0.05728298693597313	285.3	154.5337069763329	1000.0	2499.0	22499.0
24999	0.056839385838806614	91.6	103.68271609374997	1000.0	2499.0	24999.0
27499	0.056306997179985115	200.4	167.31968540601167	1000.0	2499.0	27499.0
29999	0.055666179242730145	113.8	123.58323511308318	1000.0	2499.0	29999.0
32499	0.055248465809226176	132.8	150.8721749590929	1000.0	2499.0	32499.0
34999	0.05486535419970752	32.6	122.3644689286026	1000.0	34999.0	34999.0
37499	0.05464482356905938	23.9	41.15673809822556	1000.0	37499.0	37499.0
39999	0.054421659822762085	158.9	168.3732857558884	1000.0	37499.0	39999.0
42499	0.05405735499858859	79.9	112.01311830414318	1000.0	37499.0	42499.0
44999	0.05395711907297371	77.0	75.0918205090098	1000.0	37499.0	44999.0
47499	0.053878466221690166	62.8	72.45630002707588	1000.0	37499.0	47499.0
49999	0.053587795512378154	140.7	112.37538418384861	1000.0	37499.0	49999.0
52499	0.053275873307883706	111.7	145.21787204087624	1000.0	37499.0	52499.0
54999	0.053036573182046395	68.3	106.05274669858042	1000.0	37499.0	54999.0
57499	0.05300825886279347	100.8	136.85230075480905	1000.0	37499.0	57499.0
59999	0.05259950863122932	88.8	81.12051002381371	1000.0	37499.0	59999.0
62499	0.05284672453999521	72.1	122.89793215842951	1000.0	37499.0	62499.0
64999	0.05245508718788629	83.4	121.84654968439531	1000.0	37499.0	64999.0
67499	0.05256133219897745	20.7	90.23013584915708	1000.0	67499.0	67499.0
69999	0.052270471595227706	34.5	95.34197016135707	1000.0	67499.0	69999.0
72499	0.05241008323282007	88.8	143.11227550541605	1000.0	67499.0	72499.0
74999	0.05213913023024804	0.3	56.48881996235176	1000.0	74999.0	74999.0
77499	0.0521772597327829	66.3	119.00051101841913	1000.0	74999.0	77499.0
79999	0.052084623086452425	72.1	119.49199532247403	1000.0	74999.0	79999.0
82499	0.05204235053211451	55.9	73.80086051841506	1000.0	74999.0	82499.0
84999	0.052097327461838754	68.2	84.22191725120099	1000.0	74999.0	84999.0
87499	0.051735172516107604	21.9	83.76391297039629	1000.0	74999.0	87499.0
89999	0.05164366279393426	10.1	64.46726685036137	1000.0	74999.0	89999.0
92499	0.05154547149091961	87.1	126.4990743228415	1000.0	74999.0	92499.0
94999	0.05134243233352903	151.1	119.37929668773688	1000.0	74999.0	94999.0
97499	0.05119388937056065	79.4	61.818014518786526	1000.0	74999.0	97499.0
99999	0.05136725963503122	84.1	106.8886660700698	1000.0	74999.0	99999.0
