loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/mmd_loss	loss/qc_penalty	loss/lagrangian	loss/alpha_value	eval/Cost	eval/Reward	eval/Length	train/best_idx
0.06483757961541428	0.0012128477515598035	0.11880097064159868	0.2015948429584504	0.025109224283695226	-5.2859269688582335e-05	6.75422432713476e-06	0.9740109339237205	8.7	15.936211060835047	1000.0	2499.0
0.056095388878881894	0.0002501753003617598	0.13596286175012184	0.17055232834219944	0.022513092066720163	-9.100541901950688e-05	1.1763866976848932e-05	0.9121388401269929	47.3	19.97975973940412	1000.0	2499.0
0.05367390405237675	0.0001954993606930102	0.16038573490109365	0.14111071277856846	0.022942047902569193	-0.00011008965597073764	1.418331615248104e-05	0.858589957451819	25.2	17.732323912152577	1000.0	2499.0
0.05248044070452452	0.0001776407747783121	0.1859790123787773	0.11103930042982103	0.022751327512413235	-0.00012017152788991998	1.535235096914109e-05	0.8115194742441159	27.6	18.700968410739513	1000.0	2499.0
0.05149989202618598	0.0001815564581422646	0.2047341304214039	0.08275569546073655	0.02151419186070561	-0.00012775516972570773	1.6136881068098304e-05	0.7681793232440939	18.4	16.05992692703119	1000.0	2499.0
0.051052832894027254	0.00018672037742822726	0.2149574383523614	0.058695259521901605	0.02080418305769563	-0.00013470876029230693	1.675212578012196e-05	0.7278298253536228	26.5	21.582489696524963	1000.0	2499.0
0.05052987411916258	0.00019788939636355315	0.2190262182307895	0.03873437455967082	0.020474882343038847	-0.0001471078962902766	1.7926512986787178e-05	0.6908279551029203	32.3	20.993135179099365	1000.0	2499.0
0.050239020758867256	0.0002020170001003081	0.2222930284164569	0.02154111013747752	0.020236826093867427	-0.00015797239067496795	1.8784042467518653e-05	0.6572934592962274	42.9	19.738751007011956	1000.0	2499.0
0.04983087043017141	0.000196890842125098	0.22985533741006986	0.00673756684308318	0.02018159259185191	-0.00017370007188161518	2.0128744320747667e-05	0.6265766314983349	52.6	21.910174812680236	1000.0	2499.0
0.04955751813054081	0.00019862071126096193	0.23668783644200114	-0.006335317559992829	0.01981721249744299	-0.000190815969893147	2.1579801441987093e-05	0.598370709061622	38.2	22.151727377474376	1000.0	2499.0
0.04937172316759826	0.0002087861980274601	0.2395811459691821	-0.01759274114314464	0.019971852036193068	-0.0002040940641909909	2.2576277445423554e-05	0.5726390287637704	41.8	21.49113087287269	1000.0	2499.0
0.04904222090542317	0.00021225873742915593	0.2452909185917628	-0.02747717141322792	0.02014692733474076	-0.00021328177285813565	2.3106615770296964e-05	0.5491299953222276	44.0	17.024609708391722	1000.0	2499.0
0.04883680691123005	0.00021479715065244527	0.2432153564254884	-0.03596561370193958	0.0198912173505872	-0.00022546654981155128	2.393663902407756e-05	0.5273721997022629	36.0	19.501258327524226	1000.0	2499.0
0.04854958539158114	0.000224181606902984	0.2455935837157359	-0.04294340508729223	0.020068555159866858	-0.00024210043890429027	2.5241078663331587e-05	0.5072405149579036	38.8	22.415417236149732	1000.0	2499.0
0.04829638153761634	0.0002271868530065567	0.24928185738887346	-0.04892114695906646	0.020360321928560673	-0.00024391728753785154	2.497936673408955e-05	0.48877526569366475	41.9	21.20019934154378	1000.0	2499.0
0.04824830564260482	0.00023559920403290374	0.2529537152508758	-0.054185901740193436	0.020220845004916183	-0.00025947125117990115	2.6123766419252133e-05	0.4716927617311487	52.4	21.51354108103139	1000.0	2499.0
0.04800507796853787	0.00023544060968415685	0.26412213868426193	-0.05873675648421044	0.02022264436557887	-0.00028788573948574964	2.8539760794072346e-05	0.45569276859760277	46.2	22.145203916388663	1000.0	2499.0
0.04800767464786765	0.00023618843179830135	0.27323274986800256	-0.06288769555687902	0.020439153373241425	-0.0003059572387494199	2.9872124286201513e-05	0.4407631336212166	39.2	22.255572032963048	1000.0	2499.0
