loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/alpha_value	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx
0.11271032083034489	0.029157136212403494	5.228767407496957	1.7199057018756878	-1.037459352354708	0.0	8.425415646292574	11.4	2499.0
0.0846616013497114	0.14809061126682027	277.9935510067957	95.82083742704405	-2.782052569913864	0.0	185.02020676790153	121.5	4999.0
0.07746927431672805	0.36097856838193154	452.01258274109244	148.4131622314453	-4.14060931491851	0.1	80.02605212141795	53.8	4999.0
0.0735784718766808	0.5197648212480998	621.1461586607961	148.4131622314453	-5.900416964530944	18.0	77.89058739200247	48.4	4999.0
0.07089245499074455	1.4126656439392902	583.6910120020663	148.4131622314453	-7.709839763832095	0.0	18.51354974443219	18.0	4999.0
0.06884820222407592	1.84232148831707	697.4087800866907	148.4131622314453	-9.658871271324172	58.9	308.71852143033294	176.8	4999.0
0.06731216734945766	2.8543236377141157	683.0047209373002	148.4131622314453	-12.090913357543936	0.0	55.415018476327745	41.3	4999.0
0.06633197874128804	2.2736789040671366	1106.9115777207403	148.4131622314453	-15.348273038864127	12.2	65.78731233371049	39.5	4999.0
0.06541082402169701	1.4791256123089027	1710.535172912931	148.4131622314453	-18.753625874328645	27.6	93.13171559924328	52.2	4999.0
0.06453143891990187	1.6740901364302196	1404.5483808810782	148.4131622314453	-20.650676183319078	84.9	210.8943406545189	115.6	4999.0
0.06394110801816011	1.866929268753566	1547.4646414258175	148.4131622314453	-21.867296947479268	0.0	17.66634694713313	16.7	4999.0
0.06315133644938484	1.4928142570510836	1480.3638000770275	148.4131622314453	-22.36931780166628	88.1	367.4029929132466	139.0	4999.0
0.06276699422597881	2.0698442182370327	1328.1801602007145	148.4131622314453	-22.654862415313744	80.1	175.94253991900084	93.4	4999.0
0.06233203100860112	8.061552315111905	1103.288539705456	148.4131622314453	-24.040276152801496	30.6	249.24233538107964	150.7	4999.0
0.06184243028461941	7.821300814324346	956.0319532712643	148.4131622314453	-23.828519032287616	0.0	155.10123624126808	105.0	4999.0
0.06144399109035739	6.500469699082762	918.9955432819647	148.4131622314453	-23.612425185394212	90.2	205.08625238086807	118.9	4999.0
0.061096141862869234	12.37763173923825	823.7525855071399	148.4131622314453	-23.185364033508304	0.0	8.028141266901924	15.9	4999.0
0.060905771823227414	9.345277426262161	1352.992336834243	148.4131622314453	-27.48614061355594	0.0	6.613129567578595	12.1	4999.0
0.060558344243466816	4.915312211492386	2128.194248459167	148.4131622314453	-31.193887679290754	0.0	28.403885566798575	35.4	4999.0
0.06031176348179574	4.262069330249032	2443.15311606233	148.4131622314453	-34.59910557708738	38.1	246.11214862056613	148.3	4999.0
0.0598395019665361	4.410882899109983	2329.848885406999	148.4131622314453	-37.89754054565429	0.0	1004.6556357527631	1000.0	52499.0
0.05962187683582308	4.223554498608077	2383.302111699162	148.4131622314453	-38.77698521881103	5.2	668.7792692453644	592.2	52499.0
0.059623617863655096	4.012473033880274	2414.3708890740027	148.4131622314453	-37.96565618896477	15.7	222.42623189615577	155.6	52499.0
0.059350347937643586	3.9162914312697525	2716.327295277679	148.4131622314453	-36.49538125457763	8.9	295.9824079433922	202.2	52499.0
0.05909533001780502	3.754248973281081	2968.380571575459	148.4131622314453	-35.0479506530762	19.2	182.96769218223878	119.5	52499.0
0.05893210511803633	3.2629463985454628	3237.565039647498	148.4131622314453	-34.0437949142455	282.3	1404.4591422682224	1000.0	52499.0
0.05887448753267527	2.9370609508842818	3303.961217438164	148.4131622314453	-32.56386710510258	77.1	209.17747089228203	115.6	52499.0
0.05857584999501701	2.506907806023077	3845.8845622821777	148.4131622314453	-30.820853932952897	107.0	337.7819152928977	143.2	52499.0
0.0583509564563631	2.777964253304387	4799.908094653274	148.4131622314453	-29.47395106887817	8.0	205.08588162059317	137.6	52499.0
0.05807314603775744	2.764769533986988	6588.497473016327	148.4131622314453	-28.742865304565424	51.9	155.32454974667752	75.2	52499.0
0.05820199566781524	2.4141217173815455	6562.41101686465	148.4131622314453	-28.318367575073243	67.6	205.3839389203997	93.6	52499.0
0.05786249977201236	2.3596549235173807	7150.314094440348	148.4131622314453	-29.081581836700472	70.4	194.7603905241251	87.6	52499.0
0.057894338437914875	2.8973976362597003	5987.862577782235	148.4131622314453	-31.935528833770743	161.4	636.23784209268	200.4	52499.0
0.05760897840410479	3.0580974860931587	5270.514593143453	148.4131622314453	-34.114976589965785	165.1	571.5961853395739	204.9	52499.0
0.057699477675557116	3.1157042627825056	6080.255298655709	148.4131622314453	-34.96978669738785	0.0	17.994566111745982	17.0	52499.0
0.05734477668106564	3.284774858450524	9838.05015268181	148.4131622314453	-35.42903630523679	0.0	1043.1403516413382	1000.0	89999.0
0.0571065612450241	3.375399350731709	12370.264459779402	148.4131622314453	-35.513908859252766	13.2	351.5684611874575	273.3	89999.0
0.05712123195379978	3.0008660508757177	13110.170739446035	148.4131622314453	-34.37854196929935	154.1	564.8729900499628	228.1	89999.0
0.056970504872500834	2.808790811557372	12826.175934803296	148.4131622314453	-32.74248504562381	174.0	650.8970609379271	200.0	89999.0
0.05687350943535565	2.5668030036040164	12562.073165678905	148.4131622314453	-31.28164566116328	159.9	606.6330369099118	186.7	89999.0
