Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/mmd_loss	loss/qc_penalty	loss/lagrangian	loss/alpha_value	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.10178454321920866	0.0009694379520213353	0.25510944178095857	0.007193666611218222	0.03264239190220827	-1.9693915162340375e-05	1.1682737926132686e-05	0.9850680438756932	34.6	5.2034798858531035	1000.0	2499.0	2499.0
4999	0.08705418480932693	8.54448680507995e-05	0.30130641259696667	0.0031964547091170963	0.025741631933301652	-3.0323258101449844e-05	2.4946167408637633e-05	0.9314382657527924	28.9	7.2756931207985795	1000.0	4999.0	4999.0
7499	0.08442913282513607	6.653982458532538e-05	0.36738640773668463	-0.002065083600609797	0.025918031563609834	-3.2223053387502826e-05	3.292271072169228e-05	0.8819388640403756	26.5	6.105338280047243	1000.0	7499.0	7499.0
9999	0.08264823685884508	7.841853119113424e-05	0.41984894985691584	-0.009019890741040567	0.02549881758242848	-3.3649450116736306e-05	3.744033657920519e-05	0.8371178514719007	31.9	7.18714869977193	1000.0	7499.0	9999.0
12499	0.08182738380134105	9.995213070810234e-05	0.47126832156818854	-0.015136464449390779	0.024363715840131	-3.61004355696725e-05	3.9909295080864013e-05	0.7953511791706095	54.9	3.676767636484591	1000.0	7499.0	12499.0
14999	0.08080504148006463	0.00012934813415788326	0.5116508496271802	-0.01868322171662001	0.023973462665081016	-4.025979875457043e-05	4.176696975833074e-05	0.7566017499685288	31.1	6.824375138114991	1000.0	7499.0	14999.0
17499	0.08034904850721343	0.00016215767262776708	0.5339337671367981	-0.019988120798580363	0.02381807961240411	-4.5753898538632165e-05	4.2533518811731587e-05	0.7210877060413358	24.4	4.607962095898827	1000.0	17499.0	17499.0
19999	0.07966405671238898	0.00018750441809987938	0.5552700738624884	-0.020423110994324034	0.02302481096461412	-5.136501012735409e-05	4.296089797196602e-05	0.6880354856252686	45.6	8.012331251802106	1000.0	17499.0	19999.0
22499	0.07923687385022642	0.0002081069800138921	0.5787729373756066	-0.01950070265624679	0.022583583768457163	-6.129060757278923e-05	4.6036047110575875e-05	0.6573256409883506	24.1	6.980566736747754	1000.0	22499.0	22499.0
24999	0.07911917036473777	0.00022255206633450423	0.5886106693674169	-0.017325639634393184	0.02263875509202477	-6.729381842112678e-05	4.538725813386799e-05	0.6289668043136604	40.7	9.730609276458734	1000.0	22499.0	24999.0
27499	0.07880066550821062	0.00023503500520609099	0.5941069824547776	-0.01505978582836686	0.022283488584309754	-7.178918926462645e-05	4.352164875934942e-05	0.6028393598318097	31.0	9.001345624317072	1000.0	22499.0	27499.0
29999	0.07850672790557134	0.0002457355238697025	0.5956981328173099	-0.012263756727217683	0.02234603985100986	-8.346087805622345e-05	4.584123058658075e-05	0.5787095221996313	15.6	8.071065377966404	1000.0	29999.0	29999.0
32499	0.07836561670303316	0.0002483661317393931	0.5998141592816884	-0.009922481399273942	0.021947019659727843	-9.216240457019606e-05	4.622594588035314e-05	0.5562232409954081	49.6	7.350507640399299	1000.0	29999.0	32499.0
34999	0.0780969685554504	0.0002557843573735989	0.5935746758227805	-0.007661184149212188	0.022049975616484866	-0.00010000009365007258	4.598063614559182e-05	0.5354166121721264	30.4	9.16598638018447	1000.0	29999.0	34999.0
37499	0.0777802196353672	0.0002623996380865279	0.5886773034495213	-0.005700738193432332	0.021925798597186817	-0.0001048315529716206	4.428653931526578e-05	0.5160278350114808	31.6	8.642711255283087	1000.0	29999.0	37499.0
39999	0.07772713092714538	0.00027137252646206733	0.5798954636188545	-0.004076669076841781	0.021924639362841804	-0.00011006968075510045	4.3070937466563903e-05	0.4979877492070202	56.4	8.620473463739659	1000.0	29999.0	39999.0
42499	0.07741165023297067	0.00027272616120588126	0.5671463631728267	-0.0024304298634982816	0.021963368733972307	-0.00011999204796902629	4.373317534156634e-05	0.4811915506958953	43.9	9.777982356408845	1000.0	29999.0	42499.0
