Steps	loss/chi_loss	loss/tau_loss	loss/D_kl	loss/Df	loss/td_error	loss/nu_loss	loss/lmbda_loss	loss/actor_loss	loss/tau	loss/lmbda	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.021419540181564944	0.009509319601097388	0.0023236760794557326	0.06772599014779196	0.13129320594854077	-0.060527067532960686	2.4241788124084462	0.4175883222228835	1.230643453693387	1.2249478169918067	0.0	90.46473353600996	1000.0	2499.0	2499.0
4999	0.052253941969961505	0.0018428082602675378	0.00841108525795435	0.07649390383484754	0.239428606630716	-0.07748096669267932	2.0639817702293324	0.1126594536702779	1.1520385345458988	1.0594612400770165	27.0	122.61288294482011	1000.0	2499.0	4999.0
7499	0.08651983895245888	-0.011521562868142435	0.01992159289687632	0.07302956921807266	0.27801497713820106	-0.07375774226055724	1.7433321223765628	0.0404681904971017	1.1620959529399866	0.909314698934555	183.6	143.57329614990337	1000.0	2499.0	7499.0
9999	0.10881860544392036	-0.016699248687714146	0.024060444653898474	0.06860066873654405	0.27505026442103114	-0.06929759800026188	1.4660311564922341	-0.003124037840415458	1.1867478713989268	0.7737949590444563	40.9	122.11087520463747	1000.0	2499.0	9999.0
12499	0.12601160279980894	-0.02236049215984969	0.028386682567382204	0.05564859898886631	0.2013194953083089	-0.061791042425598304	1.226051368979364	-0.030572854984277194	1.217109900331499	0.6529608148097986	338.8	160.46863130941375	1000.0	2499.0	12499.0
14999	0.1349467192092769	-0.01873897329287134	0.024987471607852214	0.05410435033697481	0.20244919109792775	-0.05631326193684159	1.0218698381572975	-0.05739346708278353	1.248596839332581	0.5466060985326769	247.3	159.03976794549743	1000.0	2499.0	14999.0
17499	0.14318480959178215	-0.018449478842638204	0.02434755985481579	0.04802427764644092	0.18111215663585645	-0.05023944219595143	0.8463817430973043	-0.0738757978477885	1.2815296240806588	0.454149272096157	214.1	145.9250558153442	1000.0	2499.0	17499.0
19999	0.15285899032912376	-0.016861760243115722	0.02283296483063177	0.04560077174539679	0.16325265913614037	-0.045642555402115724	0.6955410567164421	-0.08768345604769273	1.3130890897750835	0.3750142112851141	244.2	159.7655532678936	1000.0	2499.0	19999.0
22499	0.16416416858416777	-0.018561328602209663	0.0238482334948587	0.04216703973739104	0.14011662984907317	-0.03969387904780146	0.5677214751660817	-0.09952229284239243	1.3405591085433963	0.30786415184736204	230.1	158.10171024563505	1000.0	2499.0	22499.0
24999	0.1659762462322516	-0.015302679690462536	0.021065554924559138	0.04339144970656023	0.14303479184763399	-0.03666071714123886	0.4630091165423399	-0.1106869557809797	1.381927242136003	0.2514743873238564	296.6	172.64901303586447	1000.0	2499.0	24999.0
27499	0.16603342408570018	-0.012605608539802068	0.018850814084286422	0.041030778311089214	0.13802900216295502	-0.030683260510382507	0.37598074895739575	-0.11926331887475829	1.4246184515476192	0.20449656542539613	245.7	153.60638893385703	1000.0	2499.0	27499.0
29999	0.1803651324223179	-0.016562239412215605	0.021230167481322157	0.04354952195451707	0.13979811566596329	-0.029657440044356356	0.30412959297895403	-0.12810494124623029	1.472516534471513	0.16570706627368922	170.2	153.5538990756919	1000.0	2499.0	29999.0
32499	0.1758836293996851	-0.012347094744640066	0.01823242689940575	0.043890039354418535	0.13603085742703763	-0.02554446173040385	0.24541141396760985	-0.12836299033791085	1.4991115879535633	0.13387336606681358	255.9	156.95323585388536	1000.0	2499.0	32499.0
34999	0.1776430229847619	-0.01277665749996086	0.018363732346434083	0.0425159941629657	0.12310267913496539	-0.024723723001457688	0.19750615674257274	-0.13787393274949664	1.5275410201072677	0.1078960663706063	376.0	164.3067469526635	1000.0	2499.0	34999.0
37499	0.17531695803156316	-0.010234997331800529	0.016514136003994213	0.04565522345122195	0.14729766384990559	-0.02336509268541371	0.15889076150953743	-0.14688108747237252	1.5696717827796927	0.08677152696251848	243.4	153.88554873010665	1000.0	2499.0	37499.0
39999	0.17549409618551812	-0.011302678242737561	0.01699379609698587	0.04707273606260606	0.1552908549520615	-0.021740974276515612	0.1276456759750845	-0.1516669855640745	1.6133669516563416	0.06966529088467355	246.4	170.20483644608794	1000.0	2499.0	39999.0
42499	0.18121782789043292	-0.012162656183688569	0.017441748517026196	0.04758374260472124	0.1523679895697507	-0.018799981378335814	0.10241647199988371	-0.15161817760375298	1.6364456281185145	0.05585439600795511	322.8	178.03816292677953	1000.0	2499.0	42499.0
44999	0.18875013862765597	-0.016805837158156978	0.020202006266110805	0.04556202827564674	0.1308616307862301	-0.02045264643912501	0.08179840422272673	-0.16251531358216617	1.648954836511611	0.0447369833812118	204.9	132.76251599505713	1000.0	2499.0	44999.0
47499	0.1771763924721647	-0.008587102533663137	0.015158119280957267	0.049141165541028736	0.15107083505559338	-0.017419522892691976	0.06545344807803638	-0.16379902035958893	1.6655402562618242	0.035808092868328076	261.1	149.30840198723297	1000.0	2499.0	47499.0
49999	0.18773899518184176	-0.017165678913873373	0.02010282522581797	0.049006964656048126	0.14584185503598956	-0.019494809834341046	0.05237279353588825	-0.1674245710712406	1.6960286545276695	0.028630769187212014	380.1	166.47707096680097	1000.0	2499.0	49999.0
52499	0.1743703670866861	-0.008228148179972639	0.014803844766274563	0.05282969586198195	0.16551964993265067	-0.019252130179740742	0.041842738469503815	-0.17284902640141106	1.7127148972988124	0.022882621275633553	194.6	124.02747609516716	1000.0	2499.0	52499.0
54999	0.17250012993264818	-0.007086030559786195	0.014095817875515955	0.04929773195496366	0.1537670257936538	-0.016718980725155548	0.0334913634330035	-0.17779124839222454	1.7308787092685665	0.018278335101902483	255.9	163.31962445944902	1000.0	2499.0	54999.0
