Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/alpha_value	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.08440402784049514	0.0006072345613658518	3.84529956895018	1.5840555745601614	-0.03137470443713252	15.3	-23.524249250439063	1000.0	2499.0	2499.0
4999	0.06520229919850838	0.0009815388112541675	128.31522520715495	54.36822866077425	-0.1294260138332844	0.0	3.6644886213109977	1000.0	4999.0	4999.0
7499	0.06108354867994787	0.00200094314625846	379.0398504699483	148.4131622314453	-0.2447501494050022	33.1	17.092750059560824	1000.0	4999.0	7499.0
9999	0.058553374890982966	0.003165522882512264	374.9448560838807	148.4131622314453	-0.34312117274999554	4.7	18.261132114630716	1000.0	4999.0	9999.0
12499	0.0568420395746827	0.0036954107268962417	366.6743588251155	148.4131622314453	-0.43609567605256977	4.8	22.699062198593342	1000.0	4999.0	12499.0
14999	0.055559978193044764	0.005336295066966999	390.46749387096924	148.4131622314453	-0.510658080136777	1.3	2.4864422248156672	1000.0	4999.0	14999.0
17499	0.05488312398195265	0.006607797438968688	410.62170481983804	148.4131622314453	-0.5683542763710011	2.4	19.651734385816166	1000.0	4999.0	17499.0
19999	0.0539666484355927	0.0058615204440832696	437.1891066285657	148.4131622314453	-0.6128535617113106	10.6	25.38051222173343	1000.0	4999.0	19999.0
22499	0.053322087486088195	0.005578810031491499	447.43227283491075	148.4131622314453	-0.6537286514759065	532.5	267.18190003884246	1000.0	4999.0	22499.0
24999	0.052787429130077286	0.009322244293099378	429.7457386170456	148.4131622314453	-0.7120808165311815	26.4	46.851975699434234	1000.0	4999.0	24999.0
27499	0.0523247673600912	0.013122100475648994	459.89184579198155	148.4131622314453	-0.9759800422191629	30.9	45.06014561158011	1000.0	4999.0	27499.0
29999	0.05179609326422231	0.01313741321204022	436.5990145294288	148.4131622314453	-1.0598310199737542	14.8	25.821185047071584	1000.0	4999.0	29999.0
32499	0.05143974291682246	0.012914202214300178	440.39301139446735	148.4131622314453	-1.087151681685446	37.2	18.956153128955446	1000.0	4999.0	32499.0
34999	0.05123438845127826	0.018307112870352436	461.5385778664243	148.4131622314453	-1.097645451188085	37.5	44.489041373524145	1000.0	4999.0	34999.0
37499	0.05086366458982229	0.015545772062556586	465.0631831097752	148.4131622314453	-1.1116970437526699	28.4	45.410293654891	1000.0	4999.0	37499.0
39999	0.05054924369901424	0.013664811107070046	475.75685657025326	148.4131622314453	-1.1180303830146778	0.4	-1.3559092262734802	1000.0	4999.0	39999.0
42499	0.05047828405648463	0.0143135626392627	493.28517517826884	148.4131622314453	-1.1217811001300833	2.2	-2.1829237316173287	1000.0	4999.0	42499.0
44999	0.05016120765060197	0.018288433936156825	500.7871308590321	148.4131622314453	-1.1333076074123396	21.0	35.88481297261856	1000.0	4999.0	44999.0
47499	0.04982511767297991	0.01725809708581791	526.5478401930571	148.4131622314453	-1.2034434676170347	21.5	24.761226112254743	1000.0	4999.0	47499.0
49999	0.049778521043062095	0.022057175039068535	615.3800901374054	148.4131622314453	-1.5684159839630145	48.0	37.04159143729628	1000.0	4999.0	49999.0
52499	0.04974240293502805	0.02550667739766266	621.7529094663686	148.4131622314453	-1.8403591698646562	47.3	15.469044187111516	1000.0	4999.0	52499.0
54999	0.04943382166922091	0.02484107153320661	746.7324953006372	148.4131622314453	-1.8478582581043224	195.9	81.10299847677673	1000.0	4999.0	54999.0
57499	0.04955372666269545	0.0251639899107725	709.7594158024386	148.4131622314453	-1.9392490834712992	167.1	59.64139442087419	1000.0	4999.0	57499.0
59999	0.049083886155486034	0.02825439237000138	678.1679479740492	148.4131622314453	-1.9925695983886722	1.0	8.074674932781207	1000.0	4999.0	59999.0
62499	0.04893704392760994	0.0270283885917491	693.794512174701	148.4131622314453	-1.9475640364646882	0.2	4.063248952777953	1000.0	4999.0	62499.0
64999	0.04888428909927618	0.024667574229057864	684.2065095865655	148.4131622314453	-1.8905329136848459	21.4	1.2555676674965532	1000.0	4999.0	64999.0
67499	0.04881476702392102	0.020706258657410284	665.4610696459927	148.4131622314453	-1.8071005845546706	100.5	14.968037538155329	1000.0	4999.0	67499.0
69999	0.048700902059674346	0.021102732750944785	624.8373243203279	148.4131622314453	-1.7496521673202523	10.1	7.1591379996688564	1000.0	4999.0	69999.0
72499	0.048536272485554206	0.0336314621567797	618.1738456640252	148.4131622314453	-1.6640905229568488	145.3	67.55302130853298	1000.0	4999.0	72499.0
74999	0.04831337057054047	0.033692301022157	611.292559940273	148.4131622314453	-1.6076026696205135	2.7	6.64607533953203	1000.0	4999.0	74999.0
77499	0.048251715753972475	0.028326427559415848	584.731848462129	148.4131622314453	-1.5605262117385843	0.1	6.02068595081311	1000.0	4999.0	77499.0
79999	0.048343028800189425	0.021832336914298832	564.8640693684501	148.4131622314453	-1.5496283636093149	0.0	6.640415530762931	1000.0	79999.0	79999.0
82499	0.04811351575106383	0.0185130811241102	589.7512904896647	148.4131622314453	-1.5562470149517083	4.8	11.576572849840547	1000.0	79999.0	82499.0
84999	0.04800340358167889	0.01791059331737835	588.3045678682028	148.4131622314453	-1.532153739166259	7.1	16.495546157375713	1000.0	79999.0	84999.0
87499	0.0478153233587742	0.02146146894214738	566.7710500612749	148.4131622314453	-1.4847961107254026	178.9	66.68790319956976	1000.0	79999.0	87499.0
89999	0.047858361350744956	0.02831820671911803	579.1192749324783	148.4131622314453	-1.4382135543823222	142.0	8.86745154133686	1000.0	79999.0	89999.0
