Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/actor_loss	loss/mmd_loss	loss/qc_penalty	loss/lagrangian	loss/alpha_value	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.08471357717067034	0.0019093281743506193	0.21478028825320472	-0.13145585883012964	0.03504591047540305	0.0004677145548018299	0.0033188525802937464	0.9796687895297993	32.6	33.77132233985006	1000.0	2499.0	2499.0
4999	0.06503806841075425	0.004751824063663844	0.4433303628493046	-0.32113753374815	0.02899532614722845	0.0018416941326810025	0.08146191161125892	0.9407626518487943	68.3	53.38803760919047	1000.0	2499.0	4999.0
7499	0.061311147992312943	0.011367883423800691	1.0044018188274613	-0.4233506825804708	0.032465217897295826	0.0028802315271925227	0.08325709310173986	0.8991928766012194	42.6	53.608942416983275	1000.0	2499.0	7499.0
9999	0.058774468196928505	0.011721374030911997	0.8515113857239864	-0.5635894956350316	0.03204222932979475	0.003222701242566115	0.06828516684621573	0.8651691032171264	274.1	129.46267275220416	1000.0	2499.0	9999.0
12499	0.05716908239126203	0.010456240268363172	0.8328350164727779	-0.6582391834497439	0.0301149243198335	0.002783949163503712	0.03811975673139087	0.8317456340074537	124.1	72.38196940281428	1000.0	2499.0	12499.0
14999	0.05582853216826913	0.011488695173481833	1.0011478910863274	-0.7064116794586196	0.02906862143129107	0.0030331688569043705	0.0312648927140982	0.7976280479907992	306.8	115.34841517414513	1000.0	2499.0	14999.0
17499	0.0547729728326202	0.011016393904176644	0.8936164265331391	-0.740695970344543	0.027440337132662532	0.002997742364031721	0.04255409002304081	0.7642211957216264	111.2	80.93500608033703	1000.0	2499.0	17499.0
19999	0.05373279127925633	0.012596783194693796	1.1197089531344189	-0.7763632845878593	0.028110068769752958	0.0031309988287801377	0.03619912254773077	0.7330355904340728	6.9	53.61063874060191	1000.0	19999.0	19999.0
22499	0.05320466991961	0.017298978509849437	2.31137117989649	-0.8147764866590496	0.03021928012818096	0.004786199687386391	0.034864540326409	0.7051168952226639	31.2	63.95029677286779	1000.0	19999.0	22499.0
24999	0.05273963416814815	0.02246622187218611	2.658160138181737	-0.8846614857196794	0.03203637593910097	0.006196282404405073	0.03935611748459046	0.6823770504951477	63.3	8.410525953113105	1000.0	19999.0	24999.0
27499	0.05203307411372669	0.39126730225183404	22.455637307702528	-1.3779251644849773	0.09627757111787788	0.04907579917933325	0.10687256539762034	0.6819120001792922	47.4	6.017759355164107	1000.0	19999.0	27499.0
29999	0.05174198244065056	2.139515403307125	31.037898578348667	-7.198661776161201	0.2214990023195747	0.31392674329149317	0.1503195951890989	0.8968554167985896	10.5	-24.676103220433408	1000.0	19999.0	29999.0
32499	0.051160707744956097	4.4141901920008655	79.05199360905145	-11.078205504608139	0.17600364794731144	0.26442383749537984	0.05945664761030123	1.2739792909622176	24.4	19.49542330580422	1000.0	19999.0	32499.0
34999	0.0509423004373908	5.174670250045115	108.19522715871136	-15.599840132522587	0.16023842913806471	0.5982697708278263	0.1011684601406146	2.2171112157344806	73.1	33.364095810007264	1000.0	19999.0	34999.0
37499	0.050965675395727134	4.978468366645568	83.62868579471743	-16.904217062759386	0.08662953379005207	0.6122717676025835	0.1046747424073789	3.4070628861427292	16.7	19.4476533623474	1000.0	19999.0	37499.0
39999	0.05035585007369521	5.391848661489009	103.74986727869572	-17.235848818206776	0.08291925048232095	0.6489034549746784	0.1208483010029063	4.449137720203393	24.6	20.166970409259818	1000.0	19999.0	39999.0
42499	0.050170962697267514	4.040921945076254	50.08831355916958	-18.001118141555782	0.0532993982285261	0.2938595268135839	0.06337299624228222	5.848867294120791	0.8	11.03685938459015	1000.0	42499.0	42499.0
44999	0.049786291179061	2.9149874955915074	38.7341789781067	-16.680268146514887	0.039493080134689766	0.010962453114202051	0.00962597114385736	5.566612193679811	421.6	164.4146008705622	1000.0	42499.0	44999.0
47499	0.04980820878595117	2.0390413642126592	26.247327781261767	-14.682404367065429	0.034998038350045606	-0.009970138680236412	0.003228290662861765	4.693769404411327	242.7	133.34582141855492	1000.0	42499.0	47499.0
49999	0.049510161040723324	1.6647940901233174	19.799944858723432	-12.865977692031864	0.03272561600431793	-0.012098198379438343	0.002052980426589398	3.9419498441696117	377.5	169.91403047220618	1000.0	42499.0	49999.0
52499	0.04941590570062403	1.3321926062978409	17.40456111167489	-11.262607214355508	0.03234068683311345	-0.012245628255436177	0.001796293896290057	3.354096173381802	331.3	146.29048802377187	1000.0	42499.0	52499.0
54999	0.0493792013004422	0.964148468939315	14.098141609984344	-9.880360762405376	0.029887868604809	-0.011864430265201379	0.0015406219027368948	2.910069365215297	326.2	162.2494942878214	1000.0	42499.0	54999.0
57499	0.04912375186085703	0.7177629953768887	16.73409596529821	-8.65807670707703	0.0347936000213027	-0.008293557358210106	0.001847265245452581	2.5474908585548355	41.9	49.45286679412636	1000.0	42499.0	57499.0
59999	0.048924301707744526	0.5901043326131629	32.38137578405689	-7.866608880043028	0.036732933947444	0.026570722623119207	0.015150206181476805	2.3473593441963194	24.0	53.60584670875962	1000.0	42499.0	59999.0
62499	0.04856600814014677	0.530117301714035	19.708722149531713	-7.183503362274166	0.03746089036464699	0.03440766872928789	0.020868036059510098	2.183672823333735	2.2	4.760636571530868	1000.0	42499.0	62499.0
64999	0.04869236856400966	0.40549854847327077	11.253277120891793	-6.520658187866216	0.030277644453942754	0.007786354815378087	0.00678520155909181	2.017870182609558	174.1	154.72687107501116	1000.0	42499.0	64999.0
67499	0.04863675460815435	0.29151799669352196	7.517706183857193	-5.745258194732667	0.02780438385307785	-0.0015005673510575471	0.0015629038143229997	1.8201878332614898	275.3	162.23817250654295	1000.0	42499.0	67499.0
69999	0.04842021909952161	0.23863448103587612	6.600209140318824	-5.036368223762513	0.026390827107429522	-0.0028670608416449775	0.0008414846600403	1.647875068759918	319.4	171.47479978338924	1000.0	42499.0	69999.0
72499	0.04825656006485228	0.16738863316762256	5.046005946387626	-4.439595955276487	0.026717641298472875	-0.003089805237596648	0.0007271386239455966	1.501326397132876	39.1	50.401882766672394	1000.0	42499.0	72499.0
74999	0.04827029659748079	0.14765553988158284	6.3550522119318735	-4.020687702655785	0.03260670978203417	-0.002507712699057623	0.0006755418286289335	1.3961176153659807	39.9	43.61324104876412	1000.0	42499.0	74999.0
77499	0.048106677074730375	0.12764539700360963	5.821847818639205	-3.738906094551083	0.03467127722501761	-0.0018104764709316777	0.0006338671346161447	1.3224617926597613	49.9	18.654129337913574	1000.0	42499.0	77499.0
79999	0.04804119331091642	0.10457150923003262	4.929445500588045	-3.4508781031608584	0.02966124796122315	-0.0016989871982797953	0.0005949151336521018	1.248297504663468	133.1	71.36332102460796	1000.0	42499.0	79999.0
82499	0.04802038358598943	0.08797180354622477	3.7646909773595563	-3.118264764690399	0.027592304577678424	-0.001865440371065732	0.0005515288508594495	1.170976730489732	299.1	174.03338565648676	1000.0	42499.0	82499.0
