loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx
0.10049524057209491	5.5	201.22067890518298	148.2	2499.0
0.0805864504158498	23.6	304.86391342559324	241.1	2499.0
0.07556997176557768	8.5	110.65139305647301	82.6	2499.0
0.0723397890731692	0.0	1099.3362678337494	1000.0	9999.0
0.07026885492056612	26.1	208.93231780044715	165.4	9999.0
0.0683808775037528	18.0	896.2781548133895	649.0	9999.0
0.06715102048963306	156.3	1008.7763658196839	688.8	9999.0
0.06589897371381533	15.7	306.4472596945478	215.5	9999.0
0.06509052177220584	35.0	376.51437964928	254.7	9999.0
0.06407447164505717	16.7	298.77119964192343	222.3	9999.0
0.06333348985016346	34.1	210.84942602424752	135.8	9999.0
0.06269051513075832	4.3	1101.6204254903296	887.9	9999.0
0.06216623055785893	14.9	148.3320467596597	123.1	9999.0
0.06161550403535366	12.3	710.9360820626569	535.9	9999.0
0.06113628410696984	19.6	271.7042040105008	201.8	9999.0
0.06077896407693623	23.5	92.14084934980232	61.3	9999.0
0.0603268441110849	17.4	129.58116776570927	100.9	9999.0
0.05995229198038574	38.2	1546.3386790250177	975.2	9999.0
0.0596787449628114	19.0	1008.9077562168674	692.7	9999.0
0.0593544281721115	15.7	177.61568622496367	135.3	9999.0
0.05914188159257179	15.9	147.04384385522954	97.9	9999.0
0.05860636747628451	16.4	334.8629311586618	262.2	9999.0
0.058382413835823425	35.7	213.2386203298691	122.3	9999.0
0.05819253565818072	32.8	324.1014479568402	239.4	9999.0
0.058014568653702726	6.6	1085.4455706097501	900.8	9999.0
0.05767106661647559	22.5	616.5638646371974	392.7	9999.0
0.05744994913488621	5.2	883.8059235648836	722.1	9999.0
0.05725761633366356	31.3	758.9560166408845	549.0	9999.0
0.057041485263407285	63.7	226.30228814597103	112.7	9999.0
0.05700707568377249	21.9	555.0675684897562	377.0	9999.0
0.05670189714729791	14.8	333.78261525450006	227.8	9999.0
0.05650887991786012	10.0	677.884139127486	464.1	9999.0
0.0562893982768058	1.8	290.2273958347547	241.0	9999.0
0.05625025301426662	8.6	267.239630203582	206.1	9999.0
0.05601613930165765	24.7	400.52664369885787	269.3	9999.0
0.05587551660686737	20.0	250.28333748958562	178.9	9999.0
0.055819298213720316	48.9	148.24154342542576	79.3	9999.0
0.05556462957710021	27.8	162.73952290908449	117.0	9999.0
0.0554100867435337	30.0	332.51925345714903	235.0	9999.0
0.055315742124617075	17.5	519.8449405401994	401.7	9999.0
