loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx
0.11063166348934167	148.8	1139.9892675705846	738.3	2499.0
0.08733095169961436	97.0	286.13960501090526	148.9	4999.0
0.08142447041869169	47.4	480.23604155844924	327.4	7499.0
0.07762672005295755	155.6	833.3843738368885	488.6	7499.0
0.07508224480748169	141.8	550.4307409089339	321.0	7499.0
0.07306112191230046	13.6	760.6197725613176	584.5	14999.0
0.0716229739591479	164.6	505.9820036606794	284.6	14999.0
0.07047104900181302	19.7	612.501857947052	455.2	14999.0
0.06946023861616843	93.7	1167.328830131397	763.7	14999.0
0.06874468321949223	50.5	914.531075887061	653.5	14999.0
0.0679270952671765	115.1	566.084667100089	332.6	14999.0
0.06734971191138035	104.1	1332.82567470384	895.1	14999.0
0.06670463473796841	113.1	813.8144194583733	451.8	14999.0
0.06644749245345587	74.4	670.7246439546657	422.4	14999.0
0.06575802988260979	87.3	666.2392408013666	402.5	14999.0
0.06549976736605159	68.5	600.2997448368822	387.9	14999.0
0.06501303763240597	51.4	1219.6394864956	886.3	14999.0
0.06472483482509865	232.4	1371.4016742112813	839.3	14999.0
0.06433661363422866	11.0	346.3376391779718	246.1	47499.0
0.06423488393127927	100.3	956.3422855929939	582.4	47499.0
0.06382371549755332	93.5	1060.5232318296448	699.3	47499.0
0.06376631305664797	72.8	430.39079774032314	242.7	47499.0
0.0635544915050267	101.6	826.1713110382176	476.5	47499.0
0.06341192423254251	149.9	1657.998430661303	990.4	47499.0
0.06305580927133558	56.6	449.7291002438851	272.0	47499.0
0.06286828300505864	83.7	1222.3863724881655	779.2	47499.0
0.06269214171469197	119.9	907.6585969088956	548.9	47499.0
0.06250229059010741	198.6	1359.5239513705224	831.1	47499.0
0.06260072992146021	0.0	91.25860410634823	62.8	72499.0
0.062371998512744865	87.7	1442.3890076307284	933.1	72499.0
0.06216787960082294	74.7	1215.0272567140432	708.5	72499.0
0.06199008336216197	72.9	1059.125074752232	647.5	72499.0
0.06175926783680912	67.4	943.2570011720127	640.0	72499.0
0.061644885958731216	88.2	1416.7274327629407	869.9	72499.0
0.0615332870155573	97.1	871.6791177194052	502.1	72499.0
0.06130750346034769	200.0	1393.5144066633613	804.2	72499.0
0.06130286447554825	112.7	1228.556808975572	823.1	72499.0
0.061200084204971764	310.5	1068.945986513439	602.4	72499.0
0.06102917315214879	172.3	1550.4810218597668	882.1	72499.0
0.061095923416316526	122.8	673.773532633298	392.6	72499.0
