loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx
0.10220406394302839	9.7	408.4427333554253	317.5	2499.0
0.08186152738928791	2.8	95.73721945184299	84.9	4999.0
0.07618321239054199	51.9	360.16720955287235	246.9	4999.0
0.0728701616108417	17.7	109.00380627950032	74.6	4999.0
0.07090077451020466	0.5	241.3487872684841	209.6	12499.0
0.0689285675004125	8.6	956.4465918957883	745.7	12499.0
0.06763850177377462	25.1	117.84410658339873	74.9	12499.0
0.06625506863296036	4.1	73.27023853174529	70.1	12499.0
0.0653100800842046	46.1	997.2479349507223	630.3	12499.0
0.06461549533754586	25.0	534.71229573665	348.5	12499.0
0.06389984055459474	9.1	156.65499497845562	131.7	12499.0
0.0632424914091825	7.1	631.0831517607098	477.1	12499.0
0.06288616093993192	11.9	176.09907772849095	142.8	12499.0
0.06221151266992098	0.0	1270.771832517269	1000.0	34999.0
0.061760549135506194	95.3	510.7703939033786	329.7	34999.0
0.06128874984979619	42.0	201.95986630903974	121.8	34999.0
0.060734578648209546	6.6	935.5368129739843	751.8	34999.0
0.06050658441334969	33.7	820.9331561098419	621.5	34999.0
0.060276260663568955	8.7	214.64998838941702	181.6	34999.0
0.05994149182438843	10.3	330.9425795370462	255.0	34999.0
0.059598434588313154	16.7	133.71519530614358	85.3	34999.0
0.059307207691669486	13.1	483.8861035685612	348.6	34999.0
0.058826532234251536	16.6	714.3138048142139	524.4	34999.0
0.05880708964318036	20.3	390.10434958936776	267.3	34999.0
0.05853305061459536	40.0	281.0233722292131	189.1	34999.0
0.05819410226643094	0.6	354.3228985704428	275.5	34999.0
0.05803041903823613	11.2	1171.278405040067	954.8	34999.0
0.05778771639913314	25.5	198.05746638471788	132.1	34999.0
0.057484411565959334	71.1	741.9815940179733	480.1	34999.0
0.057400767457485194	23.4	521.1884133048486	374.2	34999.0
0.0572562570646405	6.9	230.89505373095048	174.6	34999.0
0.056993564242124574	7.2	215.34014952780393	147.6	34999.0
0.05696114804893739	45.9	1092.0406923617707	818.2	34999.0
0.05660840883851048	5.5	246.65575686811445	192.2	34999.0
0.05660434641689064	5.5	338.3596436949805	271.5	34999.0
0.056393537266552385	18.7	183.24361328950914	139.1	34999.0
0.056173886619508416	47.9	753.6627195017368	491.3	34999.0
0.056064564721286354	63.2	427.8636328250374	275.5	34999.0
0.05586805426627396	4.6	1035.4136606690083	749.2	34999.0
0.055663160765171055	22.6	529.6175060457922	358.6	34999.0
