loss/chi_loss	loss/tau_loss	loss/D_kl	loss/Df	loss/td_error	loss/nu_loss	loss/lmbda_loss	loss/actor_loss	loss/tau	loss/lmbda	eval/Cost	eval/Reward	eval/Length	train/best_idx
0.0036098966325399016	0.011906545726209873	0.0002765714305697338	0.02277070037269759	0.04703763903842096	-0.013071951930959334	9.79462401390074	0.06933759210292564	1.2246015220165287	1.2248165803432483	30.3	11.071703688292343	1000.0	2499.0
0.004540397616880725	0.010231899537146101	0.0003363057679866114	0.022193110372411756	0.03734427520028225	-0.014437626261812215	8.46436300792694	-0.17224833573716283	1.0585579351425172	1.058638731575012	32.4	13.480530295445577	1000.0	2499.0
0.006318380397780435	0.008502587074227633	0.0006507959686049873	0.02188844641035074	0.030132527576745206	-0.014273434026438617	7.25510856800079	-0.2109082361397101	0.9087888663053523	0.9076100181817996	28.2	9.332739333371403	1000.0	7499.0
0.008793252795114715	0.006637056165002285	0.0014627565014537704	0.0201833687052001	0.023843914950456208	-0.014021314397222326	6.1650271022796765	-0.23703311024164847	0.7759472971200937	0.7714870742559429	60.3	8.192772994551914	1000.0	7499.0
0.01251417958960412	0.004405877806362687	0.0033886939229962484	0.01764383951560088	0.017822720557251655	-0.013021911843943596	5.194436316108712	-0.25101709571901504	0.6629532428026204	0.6503345965862272	40.2	10.804924100127808	1000.0	7499.0
0.018218168498453362	0.0015451674764266536	0.007382688795526952	0.01558155378394659	0.014501211972238963	-0.012375690363076989	4.34150743818283	-0.2644590986504544	0.5815975157022477	0.5439381586313243	58.7	13.322964182862007	1000.0	7499.0
0.023671900843599505	-0.0006181605313438926	0.01106395481209486	0.014897560907245134	0.01413599975952672	-0.012275766308242661	3.602802981472016	-0.27140065855289264	0.5754559962272634	0.451700113070012	54.3	10.698153045389232	1000.0	7499.0
0.02873107824492876	-0.0016183430637842335	0.012512513151508965	0.01363488162410433	0.011624146166469077	-0.01074186288489563	2.9707492186546385	-0.284671432185053	0.6410288018941879	0.3726923708558079	63.1	15.745483590387499	1000.0	7499.0
0.03337185560096599	-0.0020515241366992963	0.012806708358623981	0.012415248408762052	0.009567307164180056	-0.01055511065249397	2.4358411236763	-0.29726439407383937	0.7313844034910196	0.30576619309186914	46.6	14.487287017657835	1000.0	7499.0
0.03701828440671669	-0.002059387634423183	0.012505362547481495	0.011833909930985204	0.009562841079421429	-0.009918510581649937	1.9877047636985796	-0.3050193156440595	0.824281845498085	0.24962776753306393	73.7	11.240019679540415	1000.0	7499.0
0.039906608166449344	-0.0018299394963995834	0.012010024047706501	0.012955055038597523	0.01164505559249021	-0.009628185218340178	1.6153573164939878	-0.3102997846537247	0.9127934119462975	0.20294003937244406	95.0	10.226616115359542	1000.0	7499.0
0.04218772215845267	-0.001551632572326252	0.01156400463239873	0.012826041665104208	0.01173035642383101	-0.009165566752010868	1.3082294155120824	-0.31509805441806843	0.9925977816581739	0.16440187564492192	78.7	11.060064067904852	1000.0	7499.0
0.0448549049892444	-0.0014284562077930094	0.01133889155644812	0.012648892602928698	0.011565466085065312	-0.008111156782057073	1.0563206024885152	-0.31998185747156893	1.0660838559627517	0.1327895605355502	55.7	16.168506406950964	1000.0	7499.0
0.04566257914707737	-0.0008391955660699476	0.010745756563372698	0.012861313787569507	0.014408895647949876	-0.009363862522734424	0.8510411252498626	-0.3229900901042783	1.1297368706226356	0.10699601986706236	66.1	8.867909048275173	1000.0	7499.0
0.04793924046275307	-0.0009612093822049556	0.010817952154834807	0.01375032566390842	0.014962849752245386	-0.0075362487635452875	0.6841627512931819	-0.32463375824849117	1.1758740283489229	0.08603965725898734	91.9	12.227759234930309	1000.0	7499.0
0.049286261936144285	-0.0007391738635058801	0.010604571002468803	0.014014606251454991	0.01432783629957432	-0.008556146249401857	0.5491540063738811	-0.33244997778879365	1.225719495868685	0.06907303772270668	82.2	4.967103014654084	1000.0	7499.0
0.050419929989635376	-0.0005973994665145257	0.010474146076484945	0.013198653152737288	0.013743765788882988	-0.008053022878875722	0.44023553034067164	-0.33872015756478435	1.2623776610851285	0.05538064250350003	42.0	11.873092459397604	1000.0	7499.0
0.05176855490155996	-0.0006091021237281891	0.010470746208043233	0.014813597652978211	0.0140934332214767	-0.008165025219722647	0.3525054315447799	-0.33999308019374713	1.2929295351028438	0.04435180058628327	54.1	11.23124279225066	1000.0	7499.0
0.05303309986562907	-0.0006044887423930039	0.01045624940252074	0.01465155970764655	0.012493376047392249	-0.008451367386281007	0.28203575100898753	-0.34668571756747596	1.3255566595554367	0.03549088530987508	78.1	15.368923487863919	1000.0	7499.0
0.053305375362239546	-0.0003973413830887231	0.010295336797357686	0.016741184127676726	0.01441189917687102	-0.009450646095327198	0.22553345242738768	-0.34685401257925236	1.3483658833980543	0.02838186876550319	36.1	13.818575620193231	1000.0	7499.0
0.0532488298565718	-0.00020505834314362773	0.010151059763889596	0.01879129716059551	0.016564176959627103	-0.008942749266919866	0.18023683656454112	-0.3478336829603462	1.3569170037746434	0.022681184293329743	52.0	12.772004306938626	1000.0	7499.0
0.05424522462411902	-0.0002875602377363977	0.01020977208154649	0.01749074017667595	0.014160307379692741	-0.008439698324867741	0.14395180755257617	-0.35150423397044894	1.3707488420963274	0.018117088989168396	61.8	16.363011418372373	1000.0	7499.0
0.054576737815902256	-0.00015830054442071736	0.010114463678569236	0.018157140003042308	0.014586597009849957	-0.008844850235615018	0.114974885290861	-0.353541928959628	1.384218620634081	0.014470723555237057	88.2	16.05115905571818	1000.0	7499.0
