Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/alpha_value	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.08501352457553142	0.0006657475451476879	4.0004215621027175	1.6068879721164682	-0.05579132840757954	22.1	23.86614844007186	1000.0	2499.0	2499.0
4999	0.06539187930375343	0.0013073248750570332	121.04071024359205	51.91439288988108	-0.1615808575570583	0.0	-2.7140363138704457	1000.0	4999.0	4999.0
7499	0.060908699357509505	0.0028469043292129264	409.97675310132433	148.4131622314453	-0.3089369302153585	0.0	-11.639705659931687	1000.0	4999.0	7499.0
9999	0.05827073251903059	0.004840324255462052	452.9042302207786	148.4131622314453	-0.4323267835617058	174.8	119.10894022747041	1000.0	4999.0	9999.0
12499	0.05693847119212139	0.01084854774101555	407.46377062998556	148.4131622314453	-0.6127181518316274	10.2	36.01826090009885	1000.0	4999.0	12499.0
14999	0.055293192997574785	0.018870922246614883	478.9610293598003	148.4131622314453	-1.0204264139652253	15.0	-14.178552728701618	1000.0	4999.0	14999.0
17499	0.05462365517467261	0.01993254577553893	539.1018611927743	148.4131622314453	-1.2609734084129323	1.0	7.239566807233659	1000.0	4999.0	17499.0
19999	0.05346748212873948	0.02107352291797927	539.6775309472398	148.4131622314453	-1.3647224755763958	39.6	-7.309895314147404	1000.0	4999.0	19999.0
22499	0.05288935572355982	0.020157681270206042	540.7858600438178	148.4131622314453	-1.3256198517799371	0.0	51.3091437076139	1000.0	22499.0	22499.0
24999	0.05219554633051168	0.017032714355988975	485.7555720257193	148.4131622314453	-1.267542999410629	3.8	61.4213475547674	1000.0	22499.0	24999.0
27499	0.051982602685689897	0.01934226071832261	493.64757565469966	148.4131622314453	-1.2275784075736986	114.5	41.619047771570635	1000.0	22499.0	27499.0
29999	0.05149450393319128	0.016019177655475433	479.53688928464254	148.4131622314453	-1.2114672187328368	167.9	149.92450235098255	1000.0	22499.0	29999.0
32499	0.05102725082635876	0.017094352664046804	490.66675740973903	148.4131622314453	-1.1832796835422505	0.9	30.30404294089245	1000.0	22499.0	32499.0
34999	0.05066809155642993	0.015754563231416618	499.5349342977697	148.4131622314453	-1.1580368379592902	213.9	81.24938298101341	1000.0	22499.0	34999.0
37499	0.05039382375180724	0.017735295720118945	507.484415141449	148.4131622314453	-1.1192834227085073	109.0	0.7552055984120201	1000.0	22499.0	37499.0
39999	0.050074472403526284	0.013880282669810893	524.7140933889311	148.4131622314453	-1.113545220136645	102.5	-22.286499642248263	1000.0	22499.0	39999.0
42499	0.049994298179447734	0.01396635287998784	526.2095351571168	148.4131622314453	-1.101927787303923	12.2	12.40643323104573	1000.0	22499.0	42499.0
44999	0.049547568522393684	0.020254732078158994	507.9443509103641	148.4131622314453	-1.0935454308033006	122.8	103.15725722435381	1000.0	22499.0	44999.0
47499	0.0495056467354298	0.016024978209000965	514.3516761278903	148.4131622314453	-1.0957701040267946	103.5	31.551947052008167	1000.0	22499.0	47499.0
49999	0.049264655028283595	0.01580257742254492	526.4649612250587	148.4131622314453	-1.0957498056411732	0.0	7.14999516232787	1000.0	22499.0	49999.0
52499	0.04932369548231358	0.009665854427216113	545.8597364345785	148.4131622314453	-1.108750092172622	0.0	33.0577594827799	1000.0	22499.0	52499.0
54999	0.04894222078621387	0.01002117413398408	539.8476358051666	148.4131622314453	-1.0904425616264357	1.7	79.82224446266679	1000.0	22499.0	54999.0
57499	0.04870238016992815	0.014257301377737066	527.8051248427282	148.4131622314453	-1.078853462100026	0.0	21.41631170764362	1000.0	22499.0	57499.0
59999	0.04868462514579292	0.01849853755244031	545.30617257975	148.4131622314453	-1.0531140664815912	311.7	152.2494574559783	1000.0	22499.0	59999.0
62499	0.048347155728936136	0.016106484307101	546.9399155104934	148.4131622314453	-1.0258559501171098	390.3	147.8181019243821	1000.0	22499.0	62499.0
64999	0.048334709256887425	0.015437687778694809	548.1878236250486	148.4131622314453	-0.9964793579816836	62.5	44.47299251587779	1000.0	22499.0	64999.0
67499	0.04833338411450388	0.015347732984729929	527.438191433107	148.4131622314453	-0.9906136675834669	0.0	55.262544407053056	1000.0	67499.0	67499.0
69999	0.047997045354545166	0.019434927454583174	494.4789865272154	148.4131622314453	-0.9622676208257686	17.8	-22.71479050399224	1000.0	67499.0	69999.0
72499	0.04794213442131888	0.01970192884882736	471.3598580141013	148.4131622314453	-0.9758666366338733	25.8	-39.29953742360985	1000.0	67499.0	72499.0
74999	0.04794212742596867	0.020416826113967657	513.0813279425922	148.4131622314453	-1.0545407643318183	4.8	4.594142823629997	1000.0	67499.0	74999.0
77499	0.04769314617514616	0.02183111606077328	501.40493364639275	148.4131622314453	-1.0540156439065969	15.1	90.91876200973132	1000.0	67499.0	77499.0
79999	0.047586521717905984	0.0220029963320319	505.0612028300627	148.4131622314453	-1.0671000695228539	30.9	9.074715633586198	1000.0	67499.0	79999.0
82499	0.04748038537651303	0.020826911401817225	491.3584420456771	148.4131622314453	-1.0637090926170358	0.0	-42.066845903495214	1000.0	67499.0	82499.0
84999	0.04740487562417981	0.017799436246428338	502.8143339795574	148.4131622314453	-1.1228777736663815	16.7	-56.82795064857921	1000.0	67499.0	84999.0
87499	0.04735839667916296	0.014845762098827943	510.86448285342874	148.4131622314453	-1.157155237817762	105.9	-59.573865005013865	1000.0	67499.0	87499.0
89999	0.04719554828256371	0.018749640996880333	516.2895594792648	148.4131622314453	-1.1735775668144242	115.3	-69.71201062622744	1000.0	67499.0	89999.0
