Steps	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.0353071089394391	113.9	93.99386762370598	1000.0	2499.0	2499.0
4999	0.026765366010367882	301.0	145.69199605375604	1000.0	2499.0	4999.0
7499	0.025605972033739068	81.4	112.70440517555633	1000.0	7499.0	7499.0
9999	0.024706366347521557	20.4	110.73740982001137	1000.0	9999.0	9999.0
12499	0.024262561225146084	93.5	125.06475779901032	1000.0	9999.0	12499.0
14999	0.023701081853359892	40.6	119.77988669021822	1000.0	9999.0	14999.0
17499	0.023458239520341165	0.5	132.23070256023442	1000.0	17499.0	17499.0
19999	0.023209915631264438	115.3	138.91969257301008	1000.0	17499.0	19999.0
22499	0.022856779110431668	85.5	116.2731144930306	1000.0	17499.0	22499.0
24999	0.022671926520019765	22.8	99.95875321240025	1000.0	17499.0	24999.0
27499	0.022563398179411887	6.7	119.62144400109949	1000.0	17499.0	27499.0
29999	0.0223084541648626	13.7	101.74783223245882	1000.0	17499.0	29999.0
32499	0.02209828694909814	19.3	111.5818070111965	1000.0	17499.0	32499.0
34999	0.02203485879525545	4.2	110.71934732980048	1000.0	17499.0	34999.0
37499	0.02187113519497217	18.4	107.34476402152582	1000.0	17499.0	37499.0
39999	0.021834393625706376	56.0	117.93620982817144	1000.0	17499.0	39999.0
42499	0.021672399343922732	5.3	104.72428828006983	1000.0	17499.0	42499.0
44999	0.02149294902384283	6.5	131.8737768133072	1000.0	17499.0	44999.0
47499	0.021459817507118024	51.8	128.30884114071	1000.0	17499.0	47499.0
49999	0.02139210677631201	22.5	111.21929441539187	1000.0	17499.0	49999.0
52499	0.02131665330976248	48.7	114.79749396153122	1000.0	17499.0	52499.0
54999	0.021230489473789946	40.4	125.57650473470838	1000.0	17499.0	54999.0
57499	0.021098239427804925	63.1	84.83925764888679	1000.0	17499.0	57499.0
59999	0.02099380565471948	12.6	121.57256490605607	1000.0	17499.0	59999.0
62499	0.021066933768242604	11.7	106.88260810931777	1000.0	17499.0	62499.0
64999	0.020957787154614896	22.6	114.24163624498628	1000.0	17499.0	64999.0
67499	0.02084370662197472	12.4	135.36812329277643	1000.0	17499.0	67499.0
69999	0.020670061863586255	125.6	108.99464430851658	1000.0	17499.0	69999.0
72499	0.02070738817751407	5.7	134.74343836552254	1000.0	17499.0	72499.0
74999	0.020595565083250403	39.9	100.83831009764563	1000.0	17499.0	74999.0
77499	0.02064459835514428	16.7	110.61667781865806	1000.0	17499.0	77499.0
79999	0.020488702876120802	16.2	113.91990216420227	1000.0	17499.0	79999.0
82499	0.020454832119867254	5.2	115.76552053553993	1000.0	17499.0	82499.0
84999	0.02038238676413895	103.5	133.72510377342627	1000.0	17499.0	84999.0
87499	0.020425792228430474	18.1	102.3573502194243	1000.0	17499.0	87499.0
89999	0.020288618929311674	212.0	148.1545283834177	1000.0	17499.0	89999.0
92499	0.020274788986146465	11.0	120.72311380052845	1000.0	17499.0	92499.0
94999	0.020345511854067494	92.1	134.9384209772426	1000.0	17499.0	94999.0
97499	0.02018447978310284	24.0	95.22215383377838	1000.0	17499.0	97499.0
99999	0.020175167901068942	17.4	104.17056809089567	1000.0	17499.0	99999.0
