Steps	loss/actor_loss	loss/log_probs	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	-0.22865036464668795	0.22865036464668795	96.8	90.55926113058044	1000.0	2499.0	2499.0
4999	-0.6111955452382557	0.6111955452382557	88.8	105.88303870000304	1000.0	4999.0	4999.0
7499	-0.6501949084877957	0.6501949084877957	71.0	113.51502448541927	1000.0	7499.0	7499.0
9999	-0.6646712705016152	0.6646712705016152	9.5	100.90072699813325	1000.0	9999.0	9999.0
12499	-0.6818945394754407	0.6818945394754407	5.5	117.82630928398869	1000.0	12499.0	12499.0
14999	-0.6962131250083455	0.6962131250083455	151.4	114.29234525354408	1000.0	12499.0	14999.0
17499	-0.7045125079035764	0.7045125079035764	13.4	91.96073595419705	1000.0	12499.0	17499.0
19999	-0.712555298882723	0.712555298882723	144.2	114.59640078460109	1000.0	12499.0	19999.0
22499	-0.7253255410194416	0.7253255410194416	11.2	121.88865188389482	1000.0	12499.0	22499.0
24999	-0.7314026364207269	0.7314026364207269	13.3	99.17915880305843	1000.0	12499.0	24999.0
27499	-0.7372572806060309	0.7372572806060309	11.7	114.53395787339716	1000.0	12499.0	27499.0
29999	-0.742850441026687	0.742850441026687	104.6	125.76095074956689	1000.0	12499.0	29999.0
32499	-0.7491436047792444	0.7491436047792444	20.7	102.04011820699868	1000.0	12499.0	32499.0
34999	-0.7566277599632737	0.7566277599632737	55.6	105.85522748327962	1000.0	12499.0	34999.0
37499	-0.7591935932636257	0.7591935932636257	9.2	95.79030746009201	1000.0	12499.0	37499.0
39999	-0.7632392023205747	0.7632392023205747	35.6	109.81661283308486	1000.0	12499.0	39999.0
42499	-0.7642812807083129	0.7642812807083129	18.1	95.41996185736608	1000.0	12499.0	42499.0
44999	-0.7716373891234388	0.7716373891234388	19.6	104.69625065811172	1000.0	12499.0	44999.0
47499	-0.7733805829107766	0.7733805829107766	8.4	100.24515181005897	1000.0	12499.0	47499.0
49999	-0.771632182830573	0.771632182830573	15.5	95.33359440807018	1000.0	12499.0	49999.0
52499	-0.7791016357421874	0.7791016357421874	34.4	123.65817207594475	1000.0	12499.0	52499.0
54999	-0.7847120759725568	0.7847120759725568	20.3	102.43645975844409	1000.0	12499.0	54999.0
57499	-0.7843481316804882	0.7843481316804882	118.8	118.01796254858539	1000.0	12499.0	57499.0
59999	-0.7885332638502117	0.7885332638502117	3.9	130.02729789430293	1000.0	59999.0	59999.0
62499	-0.7948981642961503	0.7948981642961503	4.7	119.24673024752083	1000.0	59999.0	62499.0
64999	-0.7953782201647734	0.7953782201647734	8.1	102.44053998307307	1000.0	59999.0	64999.0
67499	-0.7950962978720663	0.7950962978720663	105.7	129.40241081409337	1000.0	59999.0	67499.0
69999	-0.7992403155207641	0.7992403155207641	55.8	107.83476998215937	1000.0	59999.0	69999.0
72499	-0.8021144168853757	0.8021144168853757	57.7	135.18136303675593	1000.0	59999.0	72499.0
74999	-0.8072184544324862	0.8072184544324862	2.5	112.96733161218026	1000.0	74999.0	74999.0
77499	-0.8058230599284167	0.8058230599284167	0.1	116.40645924770486	1000.0	77499.0	77499.0
79999	-0.809630415773391	0.809630415773391	11.4	100.35383331564137	1000.0	77499.0	79999.0
82499	-0.8138919586420057	0.8138919586420057	28.7	114.00253896420179	1000.0	77499.0	82499.0
84999	-0.8157185152173041	0.8157185152173041	25.5	108.13082517027446	1000.0	77499.0	84999.0
87499	-0.8190080779314044	0.8190080779314044	7.8	99.77792118913518	1000.0	77499.0	87499.0
89999	-0.8168786093592645	0.8168786093592645	9.8	100.6180730375495	1000.0	77499.0	89999.0
92499	-0.8186977713286873	0.8186977713286873	3.7	104.83573869512755	1000.0	77499.0	92499.0
94999	-0.8234468672275558	0.8234468672275558	0.0	95.55631062509376	1000.0	94999.0	94999.0
97499	-0.8235939597129829	0.8235939597129829	4.4	112.7424062589718	1000.0	94999.0	97499.0
99999	-0.8266335335135456	0.8266335335135456	4.9	110.3759588099695	1000.0	94999.0	99999.0
