Steps	loss/loss_vae	loss/critic_loss	loss/cost_critic_loss	loss/alpha_value	loss/actor_loss	eval/Cost	eval/Reward	eval/Length	train/best_idx	update/env_step
2499	0.09971471410691739	0.0007325730464694879	5.461971403699019	1.8244319905281021	0.09292831745445736	38.7	-1.5824379361644518	1000.0	2499.0	2499.0
4999	0.08730551834404468	0.00015760390038092238	262.9761904335025	98.88602378911982	0.0537081429034473	279.5	3.4883561314227087	1000.0	2499.0	4999.0
7499	0.08409345742464079	0.00010497710757701108	358.25307013387544	148.4131622314453	0.028196776355057976	387.0	3.4230122843580126	1000.0	2499.0	7499.0
9999	0.08251058579981334	8.183845413825601e-05	309.8155546606572	148.4131622314453	0.013453219531103958	460.6	2.9930716039641783	1000.0	2499.0	9999.0
12499	0.08133259341716757	7.695034675881757e-05	243.16094421581772	148.4131622314453	0.005375258482072986	512.3	1.5417039656265301	1000.0	2499.0	12499.0
14999	0.08091006345450853	7.984638369043028e-05	202.39602671381414	148.4131622314453	-0.0001267380375364171	322.8	0.9087364831003422	1000.0	2499.0	14999.0
17499	0.0802244493186475	8.288440929347708e-05	177.19990345214202	148.4131622314453	-0.0038535234979819523	185.0	2.3004689742311477	1000.0	2499.0	17499.0
19999	0.07974934355467565	8.704962443414289e-05	175.9190111486269	148.4131622314453	-0.005963496309798216	298.2	3.394253005597272	1000.0	2499.0	19999.0
22499	0.07926922402083868	8.905390059419502e-05	182.65322020451768	148.4131622314453	-0.00748733663763852	283.6	7.306342160429455	1000.0	2499.0	22499.0
24999	0.07877837513983249	8.615976246748284e-05	158.93982190081724	148.4131622314453	-0.00909068825617432	187.7	11.686978527963023	1000.0	2499.0	24999.0
27499	0.0784256191611289	8.615158428598964e-05	139.10960111798133	148.4131622314453	-0.010294373016245693	335.8	11.177438446590076	1000.0	2499.0	27499.0
29999	0.07833924332857126	8.5559602795212e-05	196.24248905713728	148.4131622314453	-0.011062162855826337	291.5	14.275260911686463	1000.0	2499.0	29999.0
32499	0.07796469528228063	8.633918833010385e-05	273.6635603225833	148.4131622314453	-0.011841850925050707	222.8	13.810848397221033	1000.0	2499.0	32499.0
34999	0.07800891446620228	8.47301040267135e-05	402.16621440849025	148.4131622314453	-0.012976221431046715	186.5	11.205834031431463	1000.0	2499.0	34999.0
37499	0.07770688539147357	8.331855537557602e-05	442.65151669681916	148.4131622314453	-0.015001648303866374	265.9	11.869627270089946	1000.0	2499.0	37499.0
39999	0.07755306468009945	8.156646395466409e-05	478.8136389974869	148.4131622314453	-0.017861755301430835	127.2	15.06559703986094	1000.0	2499.0	39999.0
42499	0.07731275425404298	7.92475129231872e-05	513.2727943761986	148.4131622314453	-0.02247984855398539	140.5	15.91250252733816	1000.0	2499.0	42499.0
44999	0.0771288628667592	8.176938001355172e-05	500.22690821989846	148.4131622314453	-0.028084715763479488	180.1	13.115590379977125	1000.0	2499.0	44999.0
47499	0.07692468254864204	9.026347916989251e-05	586.5058767954868	148.4131622314453	-0.033166238997131656	171.9	18.07894773327522	1000.0	2499.0	47499.0
49999	0.07682314016222963	9.966845596321717e-05	635.1174608579641	148.4131622314453	-0.03712517810314887	159.8	18.351694160141214	1000.0	2499.0	49999.0
52499	0.0767804081842302	0.0001084672680272299	585.833200286312	148.4131622314453	-0.04022760543525216	180.0	19.52172854914264	1000.0	2499.0	52499.0
54999	0.07653388393223295	0.00011267062174033049	600.74394122642	148.4131622314453	-0.04301579851061108	174.3	19.981114858714925	1000.0	2499.0	54999.0
57499	0.07659790001809605	0.00011697551785391415	566.0845244833291	148.4131622314453	-0.04566666724979876	160.8	23.942484385311243	1000.0	2499.0	57499.0
59999	0.07659723744392412	0.00012172592809958119	575.0051534509902	148.4131622314453	-0.048080727851390864	185.1	22.498188205475834	1000.0	2499.0	59999.0
62499	0.07649562189728022	0.00012367836991629492	524.7168138263976	148.4131622314453	-0.050684843544661976	137.9	19.12845547800276	1000.0	2499.0	62499.0
64999	0.0761160848826171	0.0001331133093993767	510.3289925445818	148.4131622314453	-0.05306621924042704	285.8	18.44754018078045	1000.0	2499.0	64999.0
67499	0.07626934421211487	0.00013413207250976845	540.8409063147429	148.4131622314453	-0.05612832494825113	208.2	23.55064798205336	1000.0	2499.0	67499.0
69999	0.0759730899378658	0.0001339037715673505	571.0990350470632	148.4131622314453	-0.06103088183701039	206.3	23.7795434206374	1000.0	2499.0	69999.0
72499	0.07619117202758785	0.0001343918877387461	589.4489952567405	148.4131622314453	-0.06734844115525465	194.5	22.52452431528231	1000.0	2499.0	72499.0
74999	0.07581249137818791	0.00014165245906589603	599.7469363400083	148.4131622314453	-0.07430534980595094	247.0	22.597059043206336	1000.0	2499.0	74999.0
